5	LAK178,2	U+12039,1
1	LAK179	U+F2001
1	LAK180	U+120F5
5	LAK181,1	U+122FB
5	LAK181,2	U+122FB,1
1	LAK182	U+122E9,1
1	LAK183	U+1213E
1	LAK184	U+F1023
1	LAK185	U+1244A
1	LAK186	U+120F8
1	LAK187	U+122BE
1	LAK188	U+122DE
1	LAK189	U+121F4
1	LAK190	U+121F5
1	LAK191	U+1244B
1	LAK192	U+F2002
1	LAK193	U+1244D
1	LAK194	U+1221D
1	LAK195	U+12126
1	LAK196	U+122B7
1	LAK197	U+122E7
5	LAK198,1	U+F1025
5	LAK198,2	U+F1025,1
1	LAK199	U+122BA
1	LAK200	U+12532
1	LAK201	U+122BB,1
1	LAK202	U+F1026
1	LAK203	U+F1027
1	LAK204	U+12301
1	LAK205	U+F1028
1	LAK206	U+121F7
1	LAK207	U+12533
1	LAK207a	U+F1029
1	LAK208	U+121AE
1	LAK209	U+12240
1	LAK210	U+124E2
1	LAK211	U+12305
1	LAK212	U+12037
1	LAK213	U+F102A
1	LAK214	U+12154
1	LAK215	U+122AC
1	LAK216	U+12535
1	LAK217	U+F102B
1	LAK218	U+12542
1	LAK219	U+124E3
1	LAK220	U+124E4
1	LAK221	U+1223F
2	LAK221a	U+1223F,1
2	LAK221b	U+1223F,2
1	LAK222	U+F102C
1	LAK223	x1212D.x122E6
1	LAK224	x12146.x122E6
1	LAK225	U+124E5
1	LAK226	U+122E8
1	LAK227	U+122E6
1	LAK228	U+124E6
1	LAK229	U+1227D
1	LAK230	x1227D.x1227D
1	LAK231	U+F102D
1	LAK232	U+1204D
1	LAK233	U+F102E
1	LAK234	U+F102F
1	LAK235	U+12232
1	LAK236	U+12238
1	LAK237	U+12077
1	LAK238	U+124E7
1	LAK239	U+F1030
1	LAK240	U+F1033
1	LAK241	U+F1034
1	LAK242	U+1221C
1	LAK243	U+1221C,1
1	LAK244	U+F1036
1	LAK245	U+1227E
1	LAK246	U+F1037
1	LAK247	U+F1038
1	LAK248	U+121A7
1	LAK249	U+1210D
1	LAK250	U+F3002
1	LAK251	U+1210C
1	LAK252	U+F103D
1	LAK253	U+12032
1	LAK254	U+F103E
1	LAK255	U+1210F
1	LAK256	U+F103F
1	LAK257	U+1228A
1	LAK258	U+F3003
1	LAK259	U+1228C
1	LAK260	U+F1042
1	LAK261	U+1228D
1	LAK262	U+F1043
1	LAK263	U+F1045
1	LAK264	U+12070
1	LAK265	U+124E8
1	LAK266	U+124E9
1	LAK267	U+1202B
1	LAK268	U+1202C
1	LAK269	U+122E1
1	LAK270	U+1224F
1	LAK271	U+1224F,1
1	LAK272	U+12250
1	LAK273	U+1219C
1	LAK274	U+F1046
1	LAK275	x1219C.x120B5
1	LAK276	U+12112
1	LAK277	U+124CB
1	LAK278	U+124AC
5	LAK279,1	U+121FA
5	LAK279,2	U+121FA,1
5	LAK280,1	U+1209F
5	LAK280,2	U+1209F,1
1	LAK281	U+12292
1	LAK282	U+122FA
1	LAK283	U+12360
1	LAK284	U+12312
1	LAK285	U+120F0,3
1	LAK286	U+F1049
1	LAK287	U+F104A
1	LAK288	x120F0.x122FA.x122DB
1	LAK289	U+12322
5	LAK290,1	U+12040
5	LAK290,2	U+12040,1
5	LAK291,1	U+1236A
5	LAK291,2	U+1236A,1
5	LAK292,1	x1236A.x1200A
5	LAK292,2	U+F3000
5	LAK293,1	U+122E2
5	LAK293,2	U+122E2,1
1	LAK294	x122E2.x121B3.x12292
1	LAK295	U+122C4
1	LAK296	U+12036
1	LAK297	U+12036,1
1	LAK298	U+F104B
1	LAK299	U+1230C
1	LAK300	U+1230C,1
1	LAK301	U+121EF
1	LAK302	U+121EF,1
1	LAK303	U+121ED
1	LAK304	U+121B5
1	LAK305	U+12314
1	LAK306	U+121EC
1	LAK307	U+12295
1	LAK308	U+12299
1	LAK309	U+1252D
1	LAK310	U+12539
1	LAK311	U+1252E
1	LAK312	U+1229A
1	LAK313	U+F104E
1	LAK314	U+12297
1	LAK315	U+F104F
1	LAK316	x1230B.x12295
5	LAK317,1	U+122A8
5	LAK317,2	U+122A8,1
1	LAK318	U+12157
1	LAK319	U+12187
1	LAK320	U+12168
1	LAK321	U+12188
1	LAK322	U+12181
1	LAK323	U+12183
1	LAK324	U+12164
1	LAK325	U+1217F
1	LAK326	U+1216E
1	LAK327	U+F1050
1	LAK328	U+124D2
1	LAK329	x12313.x12157.x12038
1	LAK330	U+12165
1	LAK331	U+12158
1	LAK332	U+F1051
1	LAK333	U+1217E
1	LAK334	U+12174
1	LAK335	U+1218C
1	LAK336	U+F1052
1	LAK337	U+121FD
1	LAK338	U+1251A
1	LAK339	U+12519
1	LAK340	U+F1053
1	LAK341	U+1251D
1	LAK342	U+1251E
1	LAK343	U+124EA
1	LAK344	U+121FF
1	LAK345	U+12389
1	LAK346	U+1203F
1	LAK347	U+124EB
1	LAK348	U+124EC
1	LAK349	U+F1054
1	LAK350	U+1235C
1	LAK351	U+12129
1	LAK352	U+1212A
1	LAK353	U+1212B
1	LAK354	U+124CE
1	LAK355	U+F1056
1	LAK356	x122D9.x1202D
1	LAK357	x122D9.x1202D.x12132
1	LAK358	U+12537
1	LAK359	U+1212D
1	LAK360	x1212D.x12000
1	LAK361	U+1212E
1	LAK362	U+124CF
1	LAK363	U+F1057
1	LAK364	U+1226D
1	LAK365	U+F1058
1	LAK366	U+12130
1	LAK367	U+12134
1	LAK368	x12134.x12228
1	LAK369	U+F105A
5	LAK370,1	U+1212F
5	LAK370,2	U+1212F,1
1	LAK371	x1212F.x1212F
1	LAK372	U+12135
1	LAK373	U+122FC
1	LAK374	x122FC.x12228
2	LAK375a	x122FC.x12000
2	LAK375b	U+F3001
1	LAK376	U+1214E
1	LAK377	U+1224E
1	LAK378	U+1214F
6	LAK379a,1	U+12313
6	LAK379a,2	U+12313,1
2	LAK379b	U+12313,2
1	LAK380	U+F105B
1	LAK381	U+1231B
1	LAK382	U+122FD
1	LAK383	U+124ED
1	LAK384	U+124EE
1	LAK385	U+122D9
1	LAK386	U+F105C
1	LAK387	U+F105D
1	LAK388	U+F105E
1	LAK389	U+12122
1	LAK390	U+124EF
1	LAK391	U+1222A
1	LAK392	U+12082
1	LAK393	U+1251F
1	LAK394	U+1237C
1	LAK395	U+F105F
1	LAK396	U+12536
1	LAK397	x122D9.x1208D
1	LAK398	U+1227B
1	LAK399	U+F1060
1	LAK400	U+122DD
1	LAK401	x1230B.x12313
1	LAK402	x1230B.x12313.x121A4
1	LAK403	U+12016
1	LAK404	x12016.x122AE
1	LAK405	U+F1061
1	LAK406	U+1201B
1	LAK407	U+F1062
1	LAK408	U+F1063
1	LAK409	U+F1064
1	LAK410	U+F1065
1	LAK411	x1230B.x122AD
1	LAK412	x1230B.x120B5
1	LAK413	x1230B.x12157
1	LAK414	x1230B.x1201C
1	LAK415	U+F1066
1	LAK416	U+F1067
5	LAK417,1	U+1222B
5	LAK417,2	U+1222B,1
1	LAK418	U+1230F
1	LAK419	U+1230E
1	LAK420	U+F3004
2	LAK421a	U+12146
2	LAK421b	U+12146,1
1	LAK422	U+12148
1	LAK423	x12146.x12292
1	LAK424	x12146.x1209F
1	LAK425	x12146.x12313
1	LAK426	x12146.x120F8
1	LAK427	x12146.x1207E
1	LAK428	x12146.x12328
1	LAK429	x12146.x121A4
1	LAK430	x12146.x12260
1	LAK431	U+F1069
1	LAK432	U+12147
1	LAK433	U+F106A
1	LAK434	x12146.x120A0
1	LAK435	x12146.x120FB
1	LAK436	U+F2003
1	LAK437	U+1214A,1
5	LAK438,1	U+121AC
5	LAK438,2	U+121AC,1
1	LAK439	U+12072
1	LAK440	U+121A0
1	LAK441	U+124F0
1	LAK442	U+121F1
5	LAK443,1	U+122AE
5	LAK443,2	U+122AE,1
5	LAK443,3	U+122AE,2
5	LAK443,4	U+122AE,3
1	LAK444	U+F106B
1	LAK445	U+F106C
1	LAK446	U+F106D
5	LAK447,1	U+1227F
5	LAK447,2	U+1227F,1
1	LAK448	U+F2004
1	LAK449	x1226D.x12016
1	LAK450	U+124F7
1	LAK451	U+1226E
1	LAK452	U+124F6
1	LAK453	U+124F5
1	LAK454	U+124F4
1	LAK455	U+124F3
1	LAK456	U+F106F
1	LAK457	U+124F8
1	LAK458	x1230B.x120F6
1	LAK459	U+F1070
1	LAK460	U+1219B,1
3	LAK461,1	U+F1071
5	LAK461,2	U+121B3
5	LAK461,3	U+121B3,1
5	LAK462,1	U+12239
5	LAK462,2	U+12239,1
5	LAK462,3	U+12239,2
1	LAK463	U+1223D
1	LAK464	U+12100
1	LAK465	U+12103
1	LAK466	U+12104
1	LAK467	U+12105
1	LAK468	U+12363
1	LAK469	U+12364
1	LAK470	U+124F9
1	LAK471	U+F1072
1	LAK472	U+12334
1	LAK473	U+12307
1	LAK474	U+12138
1	LAK475	U+12139
1	LAK476	U+1213D
1	LAK477	U+1213B
1	LAK478	U+F1073
1	LAK479	U+1232B
1	LAK480	U+1253D
1	LAK481	U+12076
1	LAK482	U+12331
1	LAK483	U+124FA
1	LAK484	U+1207A
1	LAK485	U+F1074
1	LAK486	U+1207C
1	LAK487	U+F1075
1	LAK488	U+F1076
1	LAK489	x122D6.x12111
1	LAK490	U+124FB
1	LAK491	U+F1078
1	LAK492	U+124FC
1	LAK493	U+124FD
1	LAK494	U+12308
1	LAK495	U+124FE
1	LAK496	U+F107A
1	LAK497	U+1253B
1	LAK498	U+F107B
1	LAK499	U+12095
1	LAK500	U+F107C
1	LAK501	U+1214B
1	LAK502	U+1214B,1
3	LAK503,1	U+F107D
4	LAK503,2	U+122D6
5	LAK504,1	U+12195
5	LAK504,2	U+12195,1
1	LAK505	x12195.x12111
1	LAK506	U+1224C
1	LAK507	U+12155
1	LAK508	U+F107E
1	LAK509	U+12116
1	LAK510	U+12117
1	LAK511	U+1238E
1	LAK512	U+12244
1	LAK513	x1224C.x12111
1	LAK514	x1224C.x12307
1	LAK515	U+12020
1	LAK516	U+F107F
1	LAK517	U+122A9
1	LAK518	U+12096
1	LAK519	x122A9.x1203E
1	LAK520	U+1236E
1	LAK521	x122A9.x12328
1	LAK522	U+1238F
1	LAK523	U+1206E
1	LAK524	U+F1080
5	LAK525,1	U+120FB
5	LAK525,2	U+120FB,1
1	LAK526	U+F1081
1	LAK527	U+1209F,2
5	LAK528,1	U+12309
5	LAK528,2	U+12309,1
5	LAK528,3	U+12309,2
5	LAK529,1	U+12223
5	LAK529,2	U+12223,1
5	LAK529,3	U+12223,2
5	LAK529,4	U+12223,3
1	LAK530	U+F1082
1	LAK531	U+12099
1	LAK532	U+12097
1	LAK533	U+F1083
1	LAK534	x1209A.x121F7
1	LAK535	U+121AF
1	LAK536	U+1200A
1	LAK537	U+12015
1	LAK538	U+12362
1	LAK539	U+F1084
1	LAK540	U+1200B
1	LAK541	U+12480
1	LAK542	U+12481
1	LAK543	U+1200F
1	LAK544	U+12118
1	LAK545	U+12119
1	LAK546	U+F1085
1	LAK547	U+124CC
1	LAK548	U+12496
1	LAK549	U+12119,1
1	LAK550	U+124FF
1	LAK551	U+F1086
1	LAK552	U+F1087
1	LAK553	U+F1088
1	LAK554	U+F1089
1	LAK555	U+F108A
5	LAK556,1	U+1211D
5	LAK556,2	U+1211D,1
5	LAK556,3	U+1211D,2
1	LAK557	x12118.x1226D
1	LAK558	U+F108B
5	LAK559,1	U+122EB
5	LAK559,2	U+122EB,1
5	LAK559,3	U+122EB,2
1	LAK560	U+12081
1	LAK561	U+1248F
1	LAK562	U+1248E
1	LAK563	U+124A7
1	LAK564	U+1249E
1	LAK565	U+124A1
1	LAK566	U+1249A
1	LAK567	U+124A6
1	LAK568	U+1249D
1	LAK569	U+12495
1	LAK570	U+124A2
1	LAK571	U+12494
1	LAK572	U+124A8
1	LAK573	U+12493
1	LAK574	U+124A4
1	LAK575	U+124A0
1	LAK576	U+1249F
1	LAK577	U+1249B
1	LAK578	U+12496,1
1	LAK579	U+124A3
1	LAK580	U+12492
1	LAK581	U+12497
1	LAK582	U+12491
1	LAK583	U+1248D
1	LAK584	U+12498
1	LAK585	U+12490
1	LAK586	U+12499
1	LAK587	U+122ED
1	LAK588	U+124A5
1	LAK589	U+12110
1	LAK590	U+124CD
1	LAK591	U+12337
1	LAK592	U+1253E
1	LAK593	U+1233B
1	LAK594	U+12339
1	LAK595	U+1234A
1	LAK596	U+12344
1	LAK597	U+12338
1	LAK598	U+1234D
1	LAK599	U+F108C
1	LAK600	U+1253F
1	LAK601	U+1233E
1	LAK602	U+12340
1	LAK603	U+1233F
5	LAK604,1	U+1234F
5	LAK604,2	U+1234F,1
1	LAK605	U+F108D
1	LAK606	U+F108E
1	LAK607	U+F108F
1	LAK608	U+12500
1	LAK609	U+1207E
5	LAK610,1	U+12112,1
5	LAK610,2	U+12112,2
1	LAK611	U+120A1
1	LAK612	U+1219F
1	LAK613	U+120A5
1	LAK614	U+F0056
1	LAK615	U+120AF
1	LAK616	U+120AC
1	LAK617	U+12501
1	LAK618	U+12502
1	LAK619	U+12503
1	LAK620	U+12505
1	LAK621	U+12506
1	LAK622	U+12504
1	LAK623	U+1250A
1	LAK624	U+12508
1	LAK625	U+12509
1	LAK626	U+12507
1	LAK627	U+1250B
1	LAK628	U+122F3
1	LAK629	U+120FE
1	LAK630	U+120FF
1	LAK631	U+124CA
1	LAK632	U+12080
1	LAK633	U+12123
1	LAK634	U+12124
1	LAK635	U+1201C
1	LAK636	U+1250C
1	LAK637	U+12081,1
1	LAK638	U+F1090
1	LAK639	U+12081,2
1	LAK640	U+1204C
1	LAK641	U+1204B
1	LAK642	U+1204A
1	LAK643	U+F1091
1	LAK644	U+120F6
1	LAK645	U+F1092
1	LAK646	U+F1093
1	LAK647	U+F1094
1	LAK648	U+1250D
1	LAK649	U+1233A
1	LAK650	U+12510
1	LAK651	U+12511
1	LAK652	U+F1096
1	LAK653	U+12516
1	LAK654	U+122EF
1	LAK655	U+122C6
1	LAK656	U+122CD
1	LAK657	U+F0051
1	LAK658	U+122CE
1	LAK659	U+122CB
1	LAK660	U+F0052
1	LAK661	U+F0055
1	LAK662	U+F0054
5	LAK663,1	U+121B7
5	LAK663,2	U+121B7,1
5	LAK663,3	U+121B7,2
5	LAK664,1	U+12328
5	LAK664,2	U+12328,1
1	LAK665	U+1209E
1	LAK666	U+12085
5	LAK667,1	U+12086
5	LAK667,2	U+12086,1
5	LAK667,3	U+12086,2
1	LAK668	U+122C1
1	LAK669	U+F1098
1	LAK670	U+12071
1	LAK671	U+1209E,1
1	LAK672	U+12356
1	LAK673	U+12111
5	LAK674,1	U+120B7
5	LAK674,2	U+120B7,1
1	LAK675	U+120BC
1	LAK676	U+120E2
1	LAK677	U+124C8
5	LAK678,1	U+120E0
5	LAK678,2	U+120E0,1
1	LAK679	U+120E1
1	LAK680	U+120CD
1	LAK681	U+120CE
1	LAK682	U+120C9
1	LAK683	U+120DE
1	LAK684	U+124BB
1	LAK685	U+124B7
1	LAK686	U+120C4
1	LAK687	U+124BC
1	LAK688	U+124C4
1	LAK689	U+124C6
1	LAK690	U+124BD
1	LAK691	U+120CC
1	LAK692	U+124C5
1	LAK693	U+F1099
1	LAK694	U+F109A
1	LAK695	U+F109B
1	LAK696	U+124C3
1	LAK697	U+120EB
1	LAK698	U+120E3
1	LAK699	U+120C1
1	LAK700	U+124BF
1	LAK701	U+124C7
1	LAK702	U+124B8
1	LAK703	U+124B9
1	LAK704	U+124C1
1	LAK705	U+124C0
1	LAK706	U+124B6
1	LAK707	U+124C2
1	LAK708	U+F109C
1	LAK709	U+12128
1	LAK710	U+1228F
1	LAK711	U+122C3
3	LAK712,1	U+F109D
4	LAK712,2	U+F109E
1	LAK713	U+122BF
1	LAK714	U+1250F
1	LAK715	U+12512
1	LAK716	U+12516,1
1	LAK717	U+1250E
