BAU082a	o0000490	2262	14257	NUNUZ	U+1226D	𒉭						
BAU082a	o0000603	2262	23212	ZA	U+1235D	𒍝						
BAU082b	o0027504	2263	14298	NUNUZ~a								
BAU082b	o0000603	2263	23212	ZA	U+1235D	𒍝						
BAU083		2264	0								
BAU084	o0000859	2265	1782	|AŠ&AŠ&AŠ|	U+1203C	𒀼						
BAU085	o0000242	2266	7596	I	U+1213F	𒄿						
BAU086		2267	0								
BAU087		2268	0								
BAU088	o0000121	2269	2139	BARA₂	U+12048	𒁈						
BAU089	o0000166	2270	3686	E	U+1208A	𒂊						
BAU090	o0000095	2271	1061	ALAN	U+12029	𒀩						
BAU091	o0000599	2272	20551	U₂	U+12311	𒌑						
BAU092	o0000436	2273	11862	LUH	U+1221B	𒈛						
BAU093	o0000573	2274	22526	UMUM	U+12323	𒌣						
BAU093	o0000573	2274	22526	UMUM	U+12323	𒌣						
BAU094	o0000573	2275	22526	UMUM	U+12323	𒌣						
BAU094	o0000573	2275	22526	UMUM	U+12323	𒌣						
BAU095	o0000110	2276	1814	AŠ₂	U+1203E	𒀾						
BAU096	o0002845	2277	19448	ŠU	U+122D7	𒋗						
BAU097	o0000132	2278	2944	DA	U+12055	𒁕						
BAU097	o0000132	2278	2944	DA	U+12055	𒁕						
BAU098		2279	0								
BAU099	o0000263	2280	8366	KAB	U+1218F	𒆏						
BAU100	o0000263	2281	8366	KAB	U+1218F	𒆏						
BAU101	o0000132	2282	2944	DA	U+12055	𒁕						
BAU101	o0000132	2282	2944	DA	U+12055	𒁕						
BAU102	o0000112	2283	169	A₂	U+12009	𒀉						
BAU103		2284	0								
BAU103a	o0000437	2285	11879	LUL	U+1221C	𒈜						
BAU103c	o0000478	2286	13678	NE@s	U+1224B	𒉋						
BAU104	o0000259	2287	8063	IŠ	U+12156	𒅖						
BAU105	o0000259	2288	8063	IŠ	U+12156	𒅖						
BAU106	o0000485	2289	14091	NISAG	U+12260	𒉠						
BAU107	o0000194	2290	5169	GAL	U+120F2	𒃲						
BAU108	o0002824	2291	18669	ŠA	U+122AD	𒊭						
BAU109		2292	0								
BAU110	o0000204	2293	5340	GAR₃	U+120FC	𒃼						
BAU111	o0000282	2294	8811	KIN	U+121A5	𒆥						
BAU112	o0000282	2295	8811	KIN	U+121A5	𒆥						
BAU113		2296	0								
BAU114		2297	0								
BAU115		2298	0								
BAU116		2299	0								
BAU117	o0000548	2300	19977	TAR	U+122FB	𒋻						
BAU118	o0000547	2301	19937	TAK₄	U+122FA	𒋺						
BAU119		2302	0								
BAU120	o0000424	2303	11493	LAM	U+121F4	𒇴						
BAU121	o0001906	2304	11498	|LAM×KUR|	U+121F5	𒇵						
BAU122	o0002371	2305	18056	|SU.KUR.RU|	x122E2.x121B3.x12292	𒋢𒆳𒊒						
BAU123	o0000438	2306	11893	LUM	U+1221D	𒈝						
BAU123	o0000438	2306	11893	LUM	U+1221D	𒈝						
BAU124	o0002829	2307	18703	ŠA₆	U+122B7	𒊷						
BAU125	o0000536	2308	18240	SUM	U+122E7	𒋧						
BAU126	o0000500	2309	14456	PAP	U+1227D	𒉽						
BAU127		2310	0								
BAU128	o0000275	2311	8548	KASKAL	U+1219C	𒆜						
BAU129	o0001857	2312	10942	|LAK449×GU|	U+124F2	𒓲						
BAU130	o0002831	2313	18972	ŠE	U+122BA	𒊺						
BAU131	o0000425	2314	11565	LI	U+121F7	𒇷						
BAU132	o0000470	2315	13554	NAGA	U+12240	𒉀						
BAU133	o0000556	2316	20199	TU	U+12305	𒌅						
BAU134	o0000105	2317	1374	ASAL₂~a	U+12037	𒀷						
BAU135		2318	0								
BAU136	o0002673	2319	24367	|ZU&ZU.SAR|	U+12542	𒕂						
BAU137		2320	0								
BAU138	o0000522	2321	16632	SAL	U+122A9	𒊩						
BAU139	o0000530	2322	17007	SILA₃	U+122E1	𒋡						
BAU140		2323	0								
BAU141	o0000482	2324	13865	NIM	U+1224F	𒉏						
BAU141	o0000482	2324	13865	NIM	U+1224F	𒉏						
BAU142		2325	0								
BAU143	o0000175	2326	4575	ERIN₂	U+1209F	𒂟						
BAU144	o0000144	2327	3331	DIN	U+12077	𒁷						
BAU145	o0000144	2328	3331	DIN	U+12077	𒁷						
BAU145	o0000516	2328	16359	RU	U+12292	𒊒						
BAU146	o0000097	2329	1120	AMAR	U+1202B	𒀫						
BAU146b	o0027230	2330	1121	|AMAR.AMAR|	x1202B.x1202B	𒀫𒀫						
BAU146b	o0000795	2330	1128	|AMAR×ŠE|	U+1202C	𒀬						
BAU147	o0002231	2331	14471	|PAP.PAP|	x1227D.x1227D	𒉽𒉽						
BAU148	o0000124	2332	2753	BU	U+1204D	𒁍						
BAU148	o0000124	2332	2753	BU	U+1204D	𒁍						
BAU148	o0000124	2332	2753	BU	U+1204D	𒁍						
BAU149	o0000532	2333	18125	SUD	U+122E4	𒋤						
BAU150		2334	0								
BAU151	o0000532	2335	18125	SUD	U+122E4	𒋤						
BAU152	o0000463	2336	12491	MUŠ	U+12232	𒈲						
BAU153	o0000463	2337	12491	MUŠ	U+12232	𒈲						
